FECHA,SMP,AOD
01/01/2015,21.6,-9999
02/01/2015,11.4,-9999
03/01/2015,16.2,0.0190000009
04/01/2015,18.6,-9999
05/01/2015,12.8,-9999
06/01/2015,18.4,-9999
07/01/2015,16.0,-9999
08/01/2015,10.5,0.0180000009
09/01/2015,17.0,-9999
10/01/2015,15.4,0.0180000009
11/01/2015,11.2,-9999
12/01/2015,11.8,0.0440000021
13/01/2015,16.3,0.0180000009
14/01/2015,10.4,-9999
15/01/2015,14.1,0.0310000015
16/01/2015,12.1,-9999
17/01/2015,13.4,0.0460000022
18/01/2015,11.2,-9999
19/01/2015,11.9,0.0180000009
20/01/2015,15.3,0.0180000009
21/01/2015,11.6,-9999
22/01/2015,9.4,-9999
23/01/2015,13.0,-9999
24/01/2015,11.2,0.0710000034
25/01/2015,9.6,-9999
26/01/2015,10.5,-9999
27/01/2015,12.1,-9999
28/01/2015,14.1,-9999
29/01/2015,15.9,-9999
30/01/2015,14.7,-9999
31/01/2015,13.5,-9999
01/02/2015,13.5,-9999
02/02/2015,13.2,-9999
03/02/2015,16.1,-9999
04/02/2015,13.5,0.0180000009
05/02/2015,16.7,-9999
06/02/2015,12.4,-9999
07/02/2015,10.2,-9999
08/02/2015,11.2,-9999
09/02/2015,13.1,-9999
10/02/2015,13.2,-9999
11/02/2015,9.9,-9999
12/02/2015,8.7,-9999
13/02/2015,10.7,-9999
14/02/2015,12.1,-9999
15/02/2015,9.8,-9999
16/02/2015,10.4,0.0180000009
17/02/2015,10.7,-9999
18/02/2015,15.2,-9999
19/02/2015,13.4,-9999
20/02/2015,14.5,-9999
21/02/2015,15.6,-9999
22/02/2015,11.2,-9999
23/02/2015,14.0,0.0390000019
24/02/2015,15.8,-9999
25/02/2015,16.3,-9999
26/02/2015,27.1,-9999
27/02/2015,20.7,0.0320000015
28/02/2015,13.9,0.0180000009
01/03/2015,10.9,-9999
02/03/2015,9.8,-9999
03/03/2015,12.0,-9999
04/03/2015,12.0,-9999
05/03/2015,14.9,-9999
06/03/2015,15.3,-9999
07/03/2015,20.7,-9999
08/03/2015,17.5,0.20200001
09/03/2015,16.3,-9999
10/03/2015,14.7,-9999
11/03/2015,13.0,0.0180000009
12/03/2015,14.0,-9999
13/03/2015,12.9,-9999
14/03/2015,14.2,-9999
15/03/2015,13.3,-9999
16/03/2015,15.7,-9999
17/03/2015,12.4,-9999
18/03/2015,16.2,0.0180000009
19/03/2015,16.3,-9999
20/03/2015,14.6,-9999
21/03/2015,19.7,-9999
22/03/2015,12.3,-9999
23/03/2015,11.1,-9999
24/03/2015,11.6,0.0370000018
25/03/2015,11.2,0.0180000009
26/03/2015,10.5,-9999
27/03/2015,10.4,0.0270000013
28/03/2015,10.0,-9999
29/03/2015,16.8,0.0480000023
30/03/2015,12.6,-9999
31/03/2015,12.4,0.0240000011
01/04/2015,12.7,0.0180000009
02/04/2015,12.5,-9999
03/04/2015,17.7,-9999
04/04/2015,13.6,-9999
05/04/2015,18.0,-9999
06/04/2015,19.8,-9999
07/04/2015,17.7,0.0240000011
08/04/2015,13.7,-9999
09/04/2015,21.9,-9999
10/04/2015,26.0,-9999
11/04/2015,20.8,-9999
12/04/2015,17.0,-9999
13/04/2015,16.6,-9999
14/04/2015,25.9,0.0860000041
15/04/2015,18.2,-9999
16/04/2015,15.4,-9999
17/04/2015,24.0,-9999
18/04/2015,29.2,0.225000011
19/04/2015,21.8,-9999
20/04/2015,18.4,-9999
21/04/2015,24.8,0.115000005
22/04/2015,16.4,-9999
23/04/2015,24.3,0.106000005
24/04/2015,20.1,-9999
25/04/2015,24.1,0.0510000024
26/04/2015,17.0,-9999
27/04/2015,16.9,0.0540000026
28/04/2015,15.4,-9999
29/04/2015,21.2,-9999
30/04/2015,27.3,0.0180000009
01/05/2015,19.2,-9999
02/05/2015,16.2,0.0330000016
03/05/2015,23.4,-9999
04/05/2015,16.3,0.0660000031
05/05/2015,24.3,-9999
06/05/2015,16.0,-9999
07/05/2015,15.9,0.0670000032
08/05/2015,15.3,-9999
09/05/2015,14.9,0.0700000033
10/05/2015,15.1,-9999
11/05/2015,17.8,0.0530000025
12/05/2015,18.7,0.0180000009
13/05/2015,16.9,-9999
14/05/2015,24.7,-9999
15/05/2015,17.0,-9999
16/05/2015,19.0,0.0370000018
17/05/2015,18.9,-9999
18/05/2015,16.0,-9999
19/05/2015,14.7,-9999
20/05/2015,15.9,-9999
21/05/2015,17.1,0.0180000009
22/05/2015,21.8,-9999
23/05/2015,15.1,0.0500000024
24/05/2015,11.8,-9999
25/05/2015,13.9,-9999
26/05/2015,14.9,-9999
27/05/2015,25.7,0.0290000014
28/05/2015,17.4,-9999
29/05/2015,17.8,-9999
30/05/2015,16.9,0.0180000009
31/05/2015,12.4,-9999
01/06/2015,17.1,0.0680000032
02/06/2015,17.4,-9999
03/06/2015,16.9,-9999
04/06/2015,17.7,-9999
05/06/2015,29.3,0.0190000009
06/06/2015,28.3,-9999
07/06/2015,21.7,-9999
08/06/2015,28.1,0.0710000034
09/06/2015,20.6,-9999
10/06/2015,22.9,0.0400000019
11/06/2015,19.5,-9999
12/06/2015,16.4,0.043000002
13/06/2015,17.6,0.043000002
14/06/2015,19.7,0.0270000013
15/06/2015,19.0,-9999
16/06/2015,19.6,-9999
17/06/2015,16.5,0.0180000009
18/06/2015,26.1,-9999
19/06/2015,26.8,0.0250000012
20/06/2015,38.2,-9999
21/06/2015,23.8,-9999
22/06/2015,25.4,-9999
23/06/2015,18.6,-9999
24/06/2015,23.0,-9999
25/06/2015,15.3,-9999
26/06/2015,19.3,0.0490000023
27/06/2015,23.0,-9999
