V_COD_ESTA,V_COD_ANESTA,V_NOM_ESTA,D_FEC_INI,D_FEC_FIN,N_PORCENTAJE,N_NRO_DIA,V_NOM_DRE,V_COD_TIPO,V_COD_CATE,V_DESC_CATE,V_DESL_CATE,V_COD_SIHI,V_NOM_SIHI,V_COD_CUEN,V_NOM_CUEN,V_COD_SECTOR,N_ALT_MTS,N_LON_SIG,N_LAT_SIG,V_COD_COND,PER_INI,PER_FIN
106114,153325,ORELLANA,01/09/1963,31/12/1978,97,"5,450",DIRECCION ZONAL DE HUANUCO,M,15,PLU,PLUVIOMETRICA,5,UCAYALI,11,UCAYALI,0013,139,-75,-7,C,1963-09,1978-12
203801,203801,ORONGO,01/01/1947,31/05/1989,87,"13,538",DIRECCION ZONAL DE ICA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,36,GRANDE,0003,548,-75,-15,C,1947-01,1989-05
204504,204504,OCOÑA,01/09/1970,24/03/2023,26,"4,913",DIRECCION ZONAL DE AREQUIPA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,43,OCOÑA,0003,15,-73,-16,F,1970-09,2023-03
103054,000180,PEBAS,01/11/1963,28/02/2023,85,"18,507",DIRECCION ZONAL DE LORETO,M,11,CO,CLIMATOLOGICA ORDINARIA,4,AMAZONAS,05,INTERCUENCA DEL AMAZONAS,0013,102,-72,-3,F,1963-11,2023-02
200421,200422,PUENTE PALTASHACO,,,,,DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,564,-80,-5,C,,
203814,203814,PUENTE PANAMERICANA,,,,,DIRECCION ZONAL DE ICA,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,1,PACIFICO,35,ICA,0003,564,-76,-14,C,,
200406,200407,PUENTE PIURA,01/09/1925,31/10/2009,5,"1,422",DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,23,-81,-5,C,1925-09,2009-10
200419,200420,PUENTE PIURA,,,,,DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,20,-81,-5,C,,
202005,202005,PUENTE QUILLO,01/09/1974,31/10/1990,82,"4,866",DIRECCION ZONAL DE LIMA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,17,CASMA,0006,769,-78,-9,C,1974-09,1990-10
230403,230403,PUENTE SAN MIGUEL,,,,,DIRECCION ZONAL DE CUSCO,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,5,UCAYALI,03,URUBAMBA,0010,"3,723",-72,-13,C,,
201201,201200,PUENTE SANCHEZ CERRO,,,,,DIRECCION ZONAL DE PIURA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,1,PACIFICO,05,PIURA,0001,23,-81,-5,C,,
230906,230909,PUENTE STUART,01/11/1961,31/08/1972,29,"1,129",DIRECCION ZONAL DE JUNIN,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,5,UCAYALI,08,MANTARO,0008,"3,363",-75,-12,C,1961-11,1972-08
104011,150300,PUENTE SULLANA,01/09/1983,31/03/1996,79,"3,651",DIRECCION ZONAL DE PIURA,M,15,PLU,PLUVIOMETRICA,1,PACIFICO,04,CHIRA,0001,25,-81,-5,C,1983-09,1996-03
221903,221905,PUERTO CHINCHAVITO,,,,,DIRECCION ZONAL DE HUANUCO,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,3,HUALLAGA,07,ALTO HUALLAGA,0012,842,-76,-9,P,,
