date,temp,wsp,wdir,rh,P,pp
2025-09-01 00:00:00,11.85,0.0,88.0,92.6,985.7528,0.0
2025-09-01 01:00:00,13.41,0.0,87.9,93.9,985.1422,0.0
2025-09-01 02:00:00,14.41,0.0,339.5,90.6,984.9731,0.0
2025-09-01 03:00:00,14.42,0.0,120.1,90.3,984.8792,0.0
2025-09-01 04:00:00,14.4,0.188,174.3,90.4,984.84,0.0
2025-09-01 05:00:00,14.39,0.079,77.77,89.9,984.899,0.0
2025-09-01 06:00:00,14.35,0.084,180.6,90.4,985.7972,0.0
2025-09-01 07:00:00,14.63,0.205,32.02,89.6,986.3489,0.0
2025-09-01 08:00:00,14.91,0.078,17.15,88.4,986.9212,0.0
2025-09-01 09:00:00,15.42,0.55,317.1,86.5,987.3242,0.0
2025-09-01 10:00:00,15.99,1.429,251.7,85.4,986.9598,0.0
2025-09-01 11:00:00,16.9,1.201,290.1,82.6,986.2024,0.0
2025-09-01 12:00:00,16.9,2.684,276.8,81.6,986.3099,0.0
2025-09-01 13:00:00,17.03,1.07,286.5,81.5,986.1202,0.0
2025-09-01 14:00:00,17.76,2.023,291.3,78.32,985.6841,0.0
2025-09-01 15:00:00,17.33,2.327,344.5,80.3,984.9897,0.0
2025-09-01 16:00:00,15.8,1.458,267.8,85.4,985.3273,0.0
2025-09-01 17:00:00,15.49,1.278,302.8,85.8,985.4077,0.0
2025-09-01 18:00:00,15.2,0.579,275.7,86.6,985.5292,0.0
2025-09-01 19:00:00,14.85,0.345,233.8,87.6,986.093,0.0
2025-09-01 20:00:00,14.82,0.915,268.2,87.9,986.5696,0.0
2025-09-01 21:00:00,14.65,0.62,286.6,87.8,986.6951,0.0
2025-09-01 22:00:00,14.17,0.036,280.9,89.3,986.7899,0.0
2025-09-01 23:00:00,14.61,0.019,280.6,88.8,986.951,0.0
2025-09-02 00:00:00,14.72,0.0,7.616,88.7,986.6077,0.0
2025-09-02 01:00:00,14.61,0.427,263.5,89.1,986.1557,0.0
2025-09-02 02:00:00,14.24,0.271,247.5,90.7,985.8003,0.0
2025-09-02 03:00:00,14.01,0.611,273.5,92.7,985.0836,0.0
2025-09-02 04:00:00,13.7,0.543,218.8,93.1,985.2594,0.0
2025-09-02 05:00:00,13.47,0.092,272.2,94.2,986.0855,0.0
2025-09-02 06:00:00,13.5,0.061,305.2,94.9,986.572,0.0
2025-09-02 07:00:00,13.6,0.732,260.5,95.2,987.5773,0.0
2025-09-02 08:00:00,13.92,0.043,276.2,94.4,987.9218,0.0
