Temporada,Fecha,Hora,Presion(hPa),Temp(°C)
Invierno,1092025,6:00,985,13.8
Invierno,1092025,8:00,986,14.5
Invierno,1092025,10:00,986,15.7
Invierno,1092025,12:00,985.5,16.6
Invierno,1092025,14:00,984.5,17.3
Invierno,1092025,16:00,984.5,15.7
Invierno,1092025,18:00,985,14.7
Invierno,1092025,20:00,985.5,14.3
Invierno,1092025,22:00,986,13.7
Invierno,2092025,0:00,985.5,14.2
Invierno,2092025,2:00,985,13.7
Invierno,2092025,4:00,985,13.1
Invierno,2092025,6:00,986,12.8
Invierno,2092025,8:00,987,13.3
Invierno,2092025,10:00,987.5,15.6
Invierno,2092025,12:00,986,20.1
Invierno,2092025,14:00,985,20.5
Invierno,2092025,16:00,985.5,17.5
Invierno,2092025,18:00,986.5,15.3
Invierno,2092025,20:00,987.5,14.8
Invierno,2092025,22:00,987.5,14.8
Invierno,3092025,0:00,987,13.9
Invierno,3092025,2:00,985.5,13.7
Invierno,3092025,4:00,985,13.2
Invierno,3092025,6:00,986.5,12.8
Invierno,3092025,8:00,988,13.1
Invierno,3092025,10:00,988,14.5
Invierno,3092025,12:00,987,16.7
Invierno,3092025,14:00,985.5,17.5
Invierno,3092025,16:00,984.5,18.4
Invierno,3092025,18:00,985,16.4
Invierno,3092025,20:00,985.5,14.3
Invierno,3092025,22:00,986.5,14.1
Invierno,4092025,0:00,986,14.3
Invierno,4092025,2:00,985.5,13.1
Invierno,4092025,4:00,985.5,12.9
Invierno,4092025,6:00,986,12.9
Invierno,4092025,8:00,987,14.2
Invierno,4092025,10:00,987.5,15.6
Invierno,4092025,12:00,986,17.2
Invierno,4092025,14:00,985,19.4
Invierno,4092025,16:00,984.5,17.3
Invierno,4092025,18:00,985,15.1
Invierno,4092025,20:00,985.5,14.4
Invierno,4092025,22:00,985.5,14.7
Invierno,5092025,0:00,985,14.4
Invierno,5092025,2:00,984.5,14.6
Invierno,5092025,4:00,985.5,14.4
Invierno,5092025,6:00,986,13.8
Invierno,5092025,8:00,987,14.3
Invierno,5092025,10:00,987,14.1
Invierno,5092025,12:00,986.5,14.7
Invierno,5092025,14:00,985.5,16.7
Invierno,5092025,16:00,985,17.2
Invierno,5092025,18:00,985.5,14.7
Invierno,5092025,20:00,986.5,13.7
Invierno,5092025,22:00,987,14.4
Invierno,6092025,0:00,987,14.5
Invierno,6092025,2:00,986.5,14.3
Invierno,6092025,4:00,987,14
Invierno,6092025,6:00,987.5,14.1
Invierno,6092025,8:00,988.5,14.4
Invierno,6092025,10:00,989,15.4
Invierno,6092025,12:00,987.5,16.6
Invierno,6092025,14:00,986.5,18.5
