Temporada ,Fecha,Hora,Presión(hPa),Temp(°C)
Verano ,03/02/25,0:00,0,21.5
Verano ,03/02/25,2:00,0,21.5
Verano ,03/02/25,4:00,0,21.9
Verano ,03/02/25,6:00,0,22.3
Verano ,03/02/25,8:00,984,24.7
Verano ,03/02/25,10:00,984.4,29.1
Verano ,03/02/25,12:00,984,28.8
Verano ,03/02/25,14:00,982.8,30.6
Verano ,03/02/25,16:00,982.5,28.3
Verano ,03/02/25,18:00,983.5,24.9
Verano ,03/02/25,20:00,984.5,23.4
Verano ,03/02/25,22:00,985,22.8
Verano ,04/02/25,0:00,984.5,22.3
Verano ,04/02/25,2:00,983.5,21.4
Verano ,04/02/25,4:00,983.4,21
Verano ,04/02/25,6:00,983.5,21
Verano ,04/02/25,8:00,984.3,24.6
Verano ,04/02/25,10:00,984,29.5
Verano ,04/02/25,12:00,983.5,29.1
Verano ,04/02/25,14:00,982.5,29.2
Verano ,04/02/25,16:00,982.5,26.4
Verano ,04/02/25,18:00,983.2,24.8
Verano ,04/02/25,20:00,984.5,23.2
Verano ,04/02/25,22:00,984.5,22.7
Verano ,05/02/25,0:00,984.3,22.4
Verano ,05/02/25,2:00,983.1,21.5
Verano ,05/02/25,4:00,983,20.8
Verano ,05/02/25,6:00,984,20.6
Verano ,05/02/25,8:00,984.4,22.2
Verano ,05/02/25,10:00,984,24.5
Verano ,05/02/25,12:00,983,27.1
Verano ,05/02/25,14:00,981.5,30
Verano ,05/02/25,16:00,981,28.4
Verano ,05/02/25,18:00,982,25.5
Verano ,05/02/25,20:00,983.5,23.3
Verano ,05/02/25,22:00,984.2,22.9
Verano ,06/02/25,0:00,984,22.3
Verano ,06/02/25,2:00,982.8,22.5
Verano ,06/02/25,4:00,982.2,21.9
Verano ,06/02/25,6:00,983,20.9
Verano ,06/02/25,8:00,983.8,24
Verano ,06/02/25,10:00,983.5,31.2
Verano ,06/02/25,12:00,983,31
Verano ,06/02/25,14:00,982,29.8
Verano ,06/02/25,16:00,982,25.9
Verano ,06/02/25,18:00,982.5,23.4
Verano ,06/02/25,20:00,984,22.2
Verano ,06/02/25,22:00,984.5,22.6
Verano ,07/02/25,0:00,983.5,22.2
Verano ,07/02/25,2:00,983,22.1
Verano ,07/02/25,4:00,983.3,22.1
Verano ,07/02/25,6:00,984.5,22
