Temporada,Fecha,Hora,Presion(hPa),Temp(°C)
Verano,10/02/2025,0:00,-,-
Verano,10/02/2025,2:00,-,-
Verano,10/02/2025,4:00,-,-
Verano,10/02/2025,6:00,985.4,21.8
Verano,10/02/2025,8:00,985.6,24.1
Verano,10/02/2025,10:00,985.5,27.4
Verano,10/02/2025,12:00,984.5,29.2
Verano,10/02/2025,14:00,983.5,28.6
Verano,10/02/2025,16:00,982.7,28.9
Verano,10/02/2025,18:00,982.8,26.6
Verano,10/02/2025,20:00,983.9,24.6
Verano,10/02/2025,22:00,984.5,23.5
Verano,11/02/2025,0:00,983.7,24.3
Verano,11/02/2025,2:00,982.5,22.8
Verano,11/02/2025,4:00,982.3,22.2
Verano,11/02/2025,6:00,983.6,22.4
Verano,11/02/2025,8:00,984,24.3
Verano,11/02/2025,10:00,983.3,28.2
Verano,11/02/2025,12:00,982.1,30.5
Verano,11/02/2025,14:00,981,31.1
Verano,11/02/2025,16:00,980.6,29.9
Verano,11/02/2025,18:00,981.5,27.1
Verano,11/02/2025,20:00,982.6,25.3
Verano,11/02/2025,22:00,983.4,24.7
Verano,12/02/2025,0:00,982.6,23.3
Verano,12/02/2025,2:00,981.5,22.8
Verano,12/02/2025,4:00,981.5,22.4
Verano,12/02/2025,6:00,982.3,22.2
Verano,12/02/2025,8:00,983.3,25
Verano,12/02/2025,10:00,983.3,26.9
Verano,12/02/2025,12:00,983,25.6
Verano,12/02/2025,14:00,982.3,25.5
Verano,12/02/2025,16:00,982.3,25.3
Verano,12/02/2025,18:00,983.8,23.8
Verano,12/02/2025,20:00,985,22.6
Verano,12/02/2025,22:00,985,23.3
Verano,13/02/2025,0:00,984,23.3
Verano,13/02/2025,2:00,983.1,22.3
Verano,13/02/2025,4:00,983.5,21.7
Verano,13/02/2025,6:00,984.5,21.7
Verano,13/02/2025,8:00,985,23.5
Verano,13/02/2025,10:00,984,28.1
Verano,13/02/2025,12:00,985.4,29.7
Verano,13/02/2025,14:00,982.5,30.2
Verano,13/02/2025,16:00,982.9,30.6
Verano,13/02/2025,18:00,984.6,28.6
Verano,13/02/2025,20:00,985.5,26.6
Verano,13/02/2025,22:00,986.3,24.6
Verano,14/02/2025,0:00,985.5,23.3
Verano,14/02/2025,2:00,985,22.9
Verano,14/02/2025,4:00,985.1,21.8
Verano,14/02/2025,6:00,986.2,20.9
Verano,14/02/2025,8:00,986.8,23.5
Verano,14/02/2025,10:00,986,29.2
Verano,14/02/2025,12:00,985.1,31.4
Verano,14/02/2025,14:00,983.9,31.3
Verano,14/02/2025,16:00,983.4,29.6
Verano,14/02/2025,18:00,984.7,26.9
Verano,14/02/2025,20:00,985.5,24
Verano,14/02/2025,22:00,985.5,22.7
Verano,15/02/2025,0:00,984.5,22
Verano,15/02/2025,2:00,983.3,21.2
Verano,15/02/2025,4:00,983,20.8
Verano,15/02/2025,6:00,984.4,20.9
Verano,15/02/2025,8:00,984.9,22.1
Verano,15/02/2025,10:00,984.7,26.4
Verano,15/02/2025,12:00,983.3,28.7
Verano,15/02/2025,14:00,982.2,29.6
Verano,15/02/2025,16:00,982,26.8
Verano,15/02/2025,18:00,982.8,25.3
Verano,15/02/2025,20:00,983.8,24.3
Verano,15/02/2025,22:00,984.3,23.5
Verano,16/02/2025,0:00,983.4,22.2
Verano,16/02/2025,2:00,982.2,21.2
Verano,16/02/2025,4:00,982.5,20.7
Verano,16/02/2025,6:00,983.9,19.8
Verano,16/02/2025,8:00,984,22.7
Verano,16/02/2025,10:00,984,26
Verano,16/02/2025,12:00,983.5,28.4
Verano,16/02/2025,14:00,982.5,27.8
Verano,16/02/2025,16:00,982.4,26.8
Verano,16/02/2025,18:00,983.9,24.4
Verano,16/02/2025,20:00,985,22.7
Verano,16/02/2025,22:00,985.3,21.9
Verano,17/02/2025,0:00,984.8,23.7
Temporada ,Fecha ,Hora ,Presion(hPa),Temperatura(°C)
Invierno ,25/08/2025,0:00,987,13.7
Invierno ,25/08/2025,2:00,987,13.6
Invierno ,25/08/2025,4:00,987.5,13.3
Invierno ,25/08/2025,6:00,987,12.8
Invierno ,25/08/2025,8:00,987,13.3
Invierno ,25/08/2025,10:00,987.5,14.6
Invierno ,25/08/2025,12:00,986.9,15.9
Invierno ,25/08/2025,14:00,985.2,18.3
Invierno ,25/08/2025,16:00,984.5,19.7
Invierno ,25/08/2025,18:00,984.8,16
Invierno ,25/08/2025,20:00,985.8,12.3
Invierno ,25/08/2025,22:00,986.2,13.5
Invierno ,26/08/2025,0:00,986.3,14.2
Invierno ,26/08/2025,2:00,985.3,13.9
Invierno ,26/08/2025,4:00,985,13.8
Invierno ,26/08/2025,6:00,985.2,13.5
Invierno ,26/08/2025,8:00,986.5,14.1
Invierno ,26/08/2025,10:00,987,15.3
Invierno ,26/08/2025,12:00,985.5,18.7
Invierno ,26/08/2025,14:00,984.3,20.8
Invierno ,26/08/2025,16:00,984.1,20.2
Invierno ,26/08/2025,18:00,985,15.6
