R1,R2,R3,R4,R5,R6,R7,R8,T
"1,333","1,370","1,615","1,710","0,594","1,248","1,430","1,348",4
"1,294","1,306","1,611","1,502","0,550","1,089","1,313","1,175",5
"1,223","1,188","1,533","1,433","0,524","1,086","1,271","1,144",6
"1,201","1,128","1,477","1,376","0,472","1,025","1,182","1,144",7
"1,112","1,028","1,422","1,332","0,448","0,979","1,122","1,088",8
"1,055","1,069","1,348","1,265","0,424","0,932","1,030","1,043",9
"1,017","1,037","1,310","1,226","0,410","0,888","0,979","0,986",10
"0,953","0,993","1,245","1,170","0,398","0,846","0,970","0,936",11
"0,941","0,911","1,181","1,122","0,384","0,801","0,921","0,900",12
"0,909","0,914","1,152","1,086","0,380","0,798","0,914","0,883",13
"0,871","0,844","1,098","1,030","0,366","0,771","0,879","0,843",14
"0,848","0,792","1,060","0,993","0,343","0,740","0,835","0,812",15
"0,802","0,780","1,013","0,965","0,325","0,703","0,794","0,794",16
"0,792","0,739","0,977","0,943","0,324","0,678","0,774","0,759",17
"0,744","0,738","0,934","0,890","0,308","0,636","0,740","0,735",18
"0,719","0,732","0,893","0,858","0,299","0,613","0,713","0,706",19
"0,700","0,696","0,868","0,829","0,295","0,599","0,693","0,674",20
"0,672","0,654","0,830","0,793","0,284","0,579","0,672","0,658",21
"0,641","0,647","0,806","0,770","0,261","0,545","0,628","0,628",22
"0,620","0,610","0,765","0,731","0,260","0,532","0,620","0,612",23
"0,576","0,598","0,719","0,706","0,258","0,523","0,609","0,592",24
"0,572","0,572","0,712","0,676","0,245","0,495","0,570","0,561",25
"0,543","0,545","0,664","0,645","0,235","0,480","0,552","0,552",26
"0,530","0,512","0,652","0,633","0,229","0,466","0,537","0,531",27
"0,520","0,507","0,634","0,606","0,218","0,444","0,513","0,514",28
"0,483","0,501","0,599","0,588","0,211","0,423","0,490","0,490",29
"0,483","0,495","0,594","0,563","0,206","0,410","0,479","0,479",30
"0,468","0,476","0,559","0,539","0,201","0,399","0,466","0,462",31
"0,450","0,444","0,543","0,519","0,194","0,383","0,451","0,444",32
"0,434","0,434","0,518","0,500","0,185","0,370","0,427","0,432",33
"0,415","0,429","0,506","0,484","0,181","0,358","0,419","0,416",34
"0,408","0,405","0,488","0,470","0,175","0,344","0,402","0,401",35
"0,384","0,384","0,467","0,452","0,167","0,332","0,386","0,388",36
"0,375","0,376","0,455","0,436","0,159","0,318","0,370","0,372",37
"0,363","0,362","0,438","0,421","0,156","0,306","0,358","0,360",38
