T,R1,R2,R3,R4,R5,R6,R7,R8
0,,,,,,,,
1,,,,,,,,
2,1344,1523,445,3905,530,1424,,3905
3,1248,1360,446,861,496,1368,,861
4,1187,1313,426,853,478,1113,,853
5,1130,1210,382,800,464,1103,,800
6,1113,1191,366,703,452,1065,,703
7,1046,1137,350,697,443,1000,443,697
8,1018,1122,356,663,430,1045,430,663
9,956,1051,339,617,400,952,400,617
10,940,1026,332,584,363,944,363,584
11,881,955,308,546,366,893,366,546
12,827,925,290,546,360,885,360,546
13,816,918,293,505,338,822,338,505
14,802,894,281,472,327,788,327,
15,766,834,279,466,318,788,,
16,730,790,267,440,308,726,,
17,710,765,262,409,302,692,,
18,669,720,249,399,292,679,,
19,624,695,239,380,274,644,,
20,602,666,228,368,268,629,,
21,590,650,226,347,261,615,,
22,571,615,213,333,254,595,,
26,496,530,191,276,222,503,,
27,464,496,182,259,214,486,,
28,450,489,178,249,203,441,173,
29,442,470,173,237,195,433,166,
30,426,455,166,225,190,415,159,
31,406,433,160,216,186,403,157,
32,385,417,154,213,179,381,157,
33,376,396,150,201,173,370,,
34,369,391,143,194,166,357,,225
35,357,383,143,188,159,350,,216
36,336,362,135,182,157,346,,213
37,328,353,134,179,157,337,,201
38,314,335,128,166,149,320,,194
39,304,325,125,160,144,308,,188
40,293,313,120,152,140,292,,182
41,287,303,118,147,136,281,,179
42,274,295,116,139,130,269,,
43,265,283,111,134,126,256,,
44,256,272,107,126,121,250,,
45,249,264,104,123,119,243,,
46,242,255,101,118,115,234,,
47,233,247,98,114,111,225,,
48,224,236,94,110,108,219,,
49,219,225,91,115,106,212,,
50,212,223,90,101,101,203,,
