T,R1,R2,R3,R4,R5,R6,R7,R8,,
3,1348,1234,1496,1302,,,,,,
4,1335,1218,1407,1184,1164,1215,1262,1155,,TENGAN CUIDADO CON EL R1/R2/R6/R7
5,1332,1209,1335,1132,1147,1198,1224,1115,,
6,1253,1134,1331,1130,1105,1125,1193,1083,,
7,1240,1128,1263,1084,1074,1095,1151,1052,,
8,1175,1051,1203,1032,1010,1021,1074,989,,
9,1123,1014,1149,980,970,987,1030,935,,
10,1062,968,1111,952,936,953,1010,906,,
11,1020,897,1056,902,884,899,939,857,,
12,994,889,1014,860,855,871,925,837,,
13,943,859,970,823,816,833,893,807,,
14,918,820,926,786,768,795,837,756,,
15,864,758,890,752,745,760,813,742,,
16,817,712,857,724,719,732,789,709,,
17,797,707,812,693,683,702,748,682,,
18,775,688,783,663,665,680,736,657,,
19,714,655,754,642,638,649,698,625,,
20,712,628,720,609,617,630,676,605,,
21,665,600,694,591,588,604,644,579,,
22,645,567,662,562,551,574,614,557,,
23,621,554,638,545,540,556,601,534,,
24,598,531,614,519,525,540,582,518,,
25,582,519,590,503,504,517,560,497,,
26,549,481,568,481,480,494,539,476,,
27,540,477,547,462,463,466,518,459,,
28,521,456,526,445,447,460,498,441,,
29,493,434,504,428,432,446,483,427,,
30,484,428,483,413,417,400,469,414,,
31,472,414,468,397,396,404,447,394,,
32,458,398,448,381,387,395,437,383,,
33,436,378,430,366,370,375,418,361,,
34,409,357,416,356,358,333,405,358,,
35,405,352,400,342,340,327,387,337,,
36,,,388,330,330,312,375,329,,
37,,,,,317,306,361,316,,
38,,,,,308,,350,307,,
39,,,,,295,,339,297,,
40,,,,,288,,327,285,,
