T;R1;R1.1;R2;R3;R3.1;R4;R4.1;R5;R5.1;R6;R7;R8;R8.1
0;;;;;;;;;;;;;
1;;;;;;;;;;;;;
2;;1459;;;1502;;1435;1479;1447;1471;1519;1451;1416
3;1469;1349;1405;1477;1328;1408;1257;1265;1326;1221;1227;1197;1324
4;1266;1318;1217;1251;1308;1196;1238;1191;1306;1169;1206;1178;1276
5;1178;1262;1135;1180;1249;1141;1159;1324;1166;1289;1309;1238;1211
6;1161;1220;1119;1165;1220;1171;1128;1203;1125;1194;1286;1198;1148
7;1090;1145;1057;1104;1198;1057;1113;1129;1109;1121;1199;1105;1114
8;1071;1089;1045;1081;1146;1025;1084;1113;1099;1097;1145;1078;1073
9;1047;1026;1006;1051;1088;991;987;1108;989;1100;1108;1087;1014
10;990;1002;957;992;1045;948;973;1059;993;1054;1063;1008;975
11;955;988;923;972;983;917;928;1028;939;997;1023;971;938
12;922;924;887;922;903;819;879;986;864;973;978;928;904
13;877;880;839;886;823;838;861;928;875;916;926;888;862
14;855;857;820;855;887;804;820;893;824;872;907;866;838
15;819;845;781;819;838;773;799;836;801;822;862;803;824
16;782;798;748;780;809;740;757;808;768;806;810;802;784
17;758;750;720;752;792;714;736;801;749;781;777;757;739
18;725;724;691;723;752;681;706;774;707;762;788;747;709
19;692;705;688;698;714;654;676;730;686;719;722;692;690
20;676;679;641;671;702;640;653;712;658;698;701;679;666
21;645;654;619;645;671;610;622;685;634;676;676;658;639
22;635;630;594;628;642;591;601;668;608;657;654;637;616
23;595;611;569;590;620;560;580;631;588;623;617;602;596
24;568;591;549;570;597;540;553;606;562;595;601;578;580
25;549;572;526;548;573;517;545;582;548;575;578;556;561
26;522;547;501;528;552;489;519;562;520;556;558;545;535
27;516;525;489;513;530;483;493;545;500;536;540;526;513
28;508;508;466;495;512;562;482;519;489;517;510;496;497
29;837;488;449;472;487;444;466;503;465;489;488;468;477
30;489;475;438;466;476;433;446;484;450;474;477;462;469
31;453;451;418;442;460;414;433;456;437;448;451;440;442
32;434;442;409;426;441;396;411;431;416;423;423;417;431
33;414;420;388;412;424;384;402;420;409;416;411;404;412
34;389;405;363;385;410;360;391;387;391;381;378;371;397
35;380;393;362;383;392;359;374;374;377;369;369;362;385
36;363;376;350;370;379;346;357;363;360;359;355;345;369
37;350;366;339;358;373;335;351;352;354;345;341;334;358
38;337;356;326;344;360;321;340;338;343;327;328;318;349
39;324;341;316;334;347;309;326;325;327;318;319;312;334
40;314;331;305;321;331;302;318;312;321;309;311;306;325
41;301;322;290;306;325;286;310;302;310;298;298;291;315
42;292;310;276;294;312;276;294;292;299;287;286;281;302
43;286;298;273;287;300;269;287;285;288;279;277;270;292
44;273;292;261;277;293;260;278;276;279;271;269;263;286
45;265;284;254;268;283;251;270;264;271;257;257;253;278
46;252;272;241;256;275;241;260;256;261;250;249;245;267
47;243;264;234;248;265;234;253;248;255;243;243;238;259
48;237;255;225;241;257;228;246;244;248;229;232;231;250
49;230;247;220;235;250;219;236;230;237;220;226;221;242
50;225;239;214;229;247;219;230;224;234;212;219;216;236
