T,R1,R2,R3,R4,R5,R6,R7,R8
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,1.319,1.464
4,,,1.322,1.374,1.273,1.398,1.104,1.176
5,1.215,1.199,1.293,1.319,1.205,1.372,1.146,1.244
6,1.165,1.153,1.167,1.272,1.168,1.251,1.198,1.200
7,1.150,1.143,1.123,1.227,1.096,1.209,1.039,1.106
8,1.130,1.046,1.081,1.162,1.074,1.152,1.018,1.117
9,1.052,1.03,1.002,1.063,1.002,1.073,0.982,1.092
10,0.987,1.012,1.001,1.070,0.984,1.064,0.926,1.018
11,0.968,0.957,0.953,1.011,0.932,1.011,0.903,0.996
12,0.923,0.916,0.913,0.983,0.899,0.977,0.873,0.942
13,0.883,0.879,0.895,0.933,0.839,0.938,0.823,0.911
14,0.857,0.847,0.847,0.905,0.817,0.895,0.782,0.877
15,0.817,0.806,0.832,0.876,0.779,0.874,0.744,0.848
16,0.793,0.776,0.805,0.820,0.738,0.839,0.732,0.819
17,0.752,0.757,0.742,0.776,0.722,0.800,0.670,0.764
18,0.738,0.725,0.720,0.757,0.677,0.783,0.660,0.742
19,0.712,0.707,0.705,0.748,0.667,0.744,0.641,0.716
20,0.680,0.694,0.672,0.722,0.644,0.716,0.616,0.695
21,0.645,0.649,0.635,0.672,0.611,0.684,0.592,0.663
22,0.634,0.621,0.616,0.655,0.588,0.656,0.567,0.638
23,0.612,0.609,0.597,0.640,0.581,0.638,0.544,0.613
24,0.595,0.591,0.568,0.606,0.555,0.607,0.525,0.585
25,0.570,0.575,0.557,0.592,0.541,0.592,0.510,0.565
26,0.542,0.538,0.537,0.544,0.511,0.562,0.488,0.539
27,0.524,0.527,0.515,0.539,0.495,0.549,0.466,0.511
28,0.505,0.512,0.491,0.520,0.482,0.523,0.457,0.501
29,0.497,0.497,0.482,0.505,0.459,0.508,0.447,0.499
30,0.470,0.472,0.458,0.488,0.446,0.489,0.426,0.474
31,0.458,0.457,0.443,0.470,0.434,0.466,0.410,0.451
32,0.447,0.451,0.422,0.454,0.416,0.452,0.398,0.440
33,0.428,0.431,0.414,0.434,0.400,0.440,0.385,0.422
34,0.410,0.416,0.397,0.416,0.383,0.421,0.369,0.406
35,0.394,0.397,0.389,0.406,0.369,0.414,0.359,0.393
36,,,0.379,0.398,0.359,0.398,0.343,0.374
37,,,0.348,0.366,0.336,0.372,0.330,0.363
38,,,0.345,0.361,0.330,0.363,0.321,0.349
39,,,0.339,0.344,0.319,0.352,0.309,0.338
40,,,0.326,0.338,0.313,0.345,0.300,0.330
41,,,,,,,0.289,0.319
42,,,,,,,0.277,0.302
43,,,,,,,0.270,0.296
44,,,,,,,0.260,0.284
45,,,,,,,0.252,0.278
46,,,,,,,0.242,0.268
47,,,,,,,0.234,0.258
48,,,,,,,0.225,0.249
49,,,,,,,0.217,0.241
50,,,,,,,0.214,0.236
