T;R1;R2;R3;R4;R5;R6;R7;R8
3;;;;;1.349;1.352;1.312;1.336
4;;;;;1.3;1.331;1.267;1.269
5;1.372;1.299;1.308;1.308;1.273;1.275;1.228;1.219
6;1.327;1.262;1.288;1.28;1.223;1.219;1.18;1.168
7;1.201;1.148;1.15;1.203;1.168;1.161;1.129;1.12
8;1.156;1.103;1.098;1.142;1.124;1.126;1.089;1.074
9;1.112;1.064;1.045;1.087;1.06;1.08;1.038;1.032
10;1.056;1.016;0.993;1.042;1.029;1.044;0.987;0.977
11;1.011;0.968;0.96;0.982;0.954;0.995;0.954;0.926
12;0.977;0.932;0.919;0.949;0.936;0.956;0.934;0.906
13;0.939;0.905;0.901;0.915;0.916;0.935;0.897;0.868
14;0.904;0.858;0.85;0.874;0.88;0.89;0.858;0.839
15;0.87;0.815;0.815;0.834;0.854;0.855;0.833;0.808
16;0.838;0.786;0.787;0.799;0.815;0.821;0.796;0.78
17;0.793;0.755;0.743;0.77;0.782;0.796;0.77;0.75
18;0.776;0.731;0.726;0.745;0.76;0.771;0.745;0.717
19;0.745;0.693;0.688;0.704;0.725;0.745;0.716;0.697
20;0.711;0.669;0.667;0.682;0.689;0.716;0.687;0.668
21;0.693;0.645;0.645;0.658;0.666;0.697;0.656;0.65
22;0.664;0.619;0.62;0.64;0.648;0.668;0.644;0.622
23;0.622;0.586;0.58;0.591;0.626;0.648;0.621;0.595
24;0.613;0.576;0.57;0.581;0.598;0.629;0.592;0.59
25;0.586;0.554;0.549;0.56;0.567;0.594;0.564;0.561
26;0.573;0.538;0.539;0.542;0.549;0.57;0.545;0.538
27;0.551;0.517;0.516;0.528;0.534;0.559;0.53;0.526
28;0.529;0.496;0.492;0.505;0.508;0.532;0.502;0.502
29;0.509;0.478;0.473;0.488;0.486;0.515;0.488;0.481
30;0.488;0.463;0.456;0.467;0.476;0.495;0.474;0.468
31;0.47;0.442;0.441;0.447;0.459;0.483;0.459;0.451
32;0.455;0.43;0.429;0.435;0.444;0.469;0.442;0.429
33;0.442;0.416;0.411;0.42;0.429;0.446;0.425;0.418
34;0.422;0.399;0.393;0.404;0.412;0.435;0.414;0.404
35;0.408;0.385;0.378;0.39;0.403;0.424;0.402;0.396
36;0.381;0.362;0.369;0.365;0.383;0.403;0.385;0.371
37;0.371;0.35;0.355;0.355;0.375;0.393;0.373;0.367
38;0.367;0.345;0.342;0.352;0.361;0.381;0.36;0.353
39;0.357;0.338;0.332;0.341;0.345;0.368;0.348;0.34
40;0.345;0.328;0.325;0.331;0.338;0.358;0.341;0.331
41;0.334;0.317;0.311;0.318;;;;
42;0.322;0.303;0.3;0.308;;;;
43;0.312;0.296;0.29;0.298;;;;
44;0.3;0.284;0.28;0.286;;;;
45;0.292;0.276;0.271;0.278;;;;
46;0.28;0.262;0.26;0.268;;;;
47;0.273;0.257;0.253;0.26;;;;
48;0.264;0.249;0.245;0.252;;;;
49;0.253;0.242;0.235;0.244;;;;
50;0.246;0.234;0.228;0.237;;;;
51;0.238;0.225;0.221;0.228;;;;
52;0.232;0.22;0.216;0.223;;;;
53;0.227;0.215;0.21;0.217;;;;
54;0.22;0.212;0.207;0.211;;;;
55;0.216;0.209;0.204;0.208;;;;
