T,R1,R2,R3,R4,R5,R6,R7,R8
5,1.382,"0,317","1,261",1.435,"1,342",1.402,1.238,1.334
6,1.351,"0,3","1,217",1.381,"1,26",1.407,1.239,1.375
7,1.246,"0,288","1,144",1.326,"1,222",1.370,1.185,1.281
8,1.209,"0,28","1,118",1.272,"1,183",1.242,1.081,1.201
9,1.119,"0,27","1,067",1.218,"1,131",1.154,"0,989",1.187
10,1.074,"0,262",1,1.183,"1,241",1.168,1.019,1.166
11,1.019,"0,249","0,971",1.127,"1,025",1.115,"0,961",1.097
12,"0,978","0,238","0,939",1.077,"0,998",1.053,"0,913",1.048
13,"0,939","0,23","0,886",1.035,"0,95",1.018,"0,881",1.014
14,"0,898","0,221","0,849","0,989","0,897","0,989","0,85","0,967"
15,"0,859","0,213","0,831","0,957","0,869","0,942","0,829","0,944"
16,"0,84","0,204","0,784","0,919","0,851","0,872","0,788","0,912"
17,"0,798","0,198","0,767","0,901","0,815","0,877","0,764","0,87"
18,"0,776","0,184","0,722","0,853","0,772","0,809","0,713","0,816"
19,"0,737","0,183","0,703","0,816","0,77","0,805","0,691","0,802"
20,"0,72","0,178","0,683","0,781","0,716","0,768","0,662","0,76"
21,"0,685","0,17","0,654","0,755","0,666","0,733","0,633","0,699"
22,"0,65","0,163","0,639","0,725","0,65","0,708","0,615","0,681"
23,"0,643","0,157","0,605","0,695","0,643","0,685","0,597","0,678"
24,"0,614","0,151","0,568","0,671","0,629","0,663","0,572","0,645"
25,"0,585","0,146","0,556","0,646","0,592","0,625","0,536","0,623"
26,"0,569","0,141","0,537","0,621","0,541","0,62","0,495","0,678"
27,"0,543","0,136","0,523","0,597","0,532","0,605","0,492","0,556"
28,"0,525","0,131","0,501","0,578","0,51","0,555","0,49","0,557"
29,"0,508","0,127","0,482","0,556","0,485","0,516","0,443","0,519"
30,"0,486","0,123","0,466","0,541","0,479","0,508","0,443","0,517"
31,"0,463","0,118","0,444","0,514","0,473","0,493","0,425","0,507"
32,"0,433","0,115","0,428","0,494","0,446","0,49","0,419","0,48"
