T,R1,R2,R3,R4,R5,R6,R7,R8
4,1.347,1.569,1.495,1.504,,,,
5,1.238,1.494,1.407,1.382,,,,
6,1.211,1.394,1.333,1.343,,,,
7,1.146,1.281,1.248,1.269,1.1,1.97,1.135,0.46
8,1.089,1.236,1.19,1.199,1.091,1.96,1.126,0.44
9,1.093,1.255,1.175,1.199,0.998,1.849,1.057,0.397
10,1.042,1.185,1.144,1.154,0.938,1.664,0.941,0.374
11,0.993,1.126,1.094,1.103,0.903,1.585,0.895,0.35
12,0.946,1.078,1.026,1.034,0.854,1.561,0.884,0.342
13,0.892,1.026,0.989,0.969,0.849,1.525,0.872,0.339
14,0.857,0.94,0.937,0.945,0.845,1.456,0.838,0.32
15,0.828,0.927,0.899,0.89,0.776,1.398,,0.307
16,0.8,0.892,0.86,0.87,0.734,1.33,0.756,0.281
17,0.747,0.848,0.805,0.795,0.751,1.301,0.758,0.278
18,0.729,0.808,0.788,0.786,0.714,1.258,0.72,0.252
19,0.72,0.81,0.778,0.769,0.68,1.155,0.698,0.229
20,0.686,0.768,0.735,0.723,0.632,1.114,0.667,0.217
21,0.666,0.749,0.712,0.708,0.589,1.064,0.618,0.207
22,0.643,0.724,0.697,0.683,0.558,1.038,0.569,0.204
23,0.608,0.681,0.641,0.648,0.567,1.001,0.579,0.195
24,0.577,0.642,0.621,0.608,0.563,0.922,0.579,0.184
25,0.553,0.618,0.591,0.588,0.516,0.866,0.551,0.175
26,0.55,0.612,0.573,0.512,0.464,0.898,0.469,0.169
27,0.523,0.574,0.559,0.556,0.466,0.823,0.473,0.161
28,0.505,0.556,0.529,0.529,0.42,0.778,0.458,
29,0.495,0.542,0.515,0.516,0.43,0.768,0.442,
30,0.478,0.513,0.492,0.493,0.428,0.716,0.429,
31,0.439,0.466,0.446,0.451,0.385,0.707,0.397,
32,0.422,0.463,0.44,0.433,0.391,0.678,0.405,
33,0.419,0.445,0.433,0.428,0.362,0.654,0.379,0.108
34,0.399,,0.423,0.415,0.365,0.623,0.368,0.103
35,0.388,0.419,0.405,0.404,0.335,0.597,0.333,0.102
36,0.383,0.419,0.404,0.394,0.316,0.541,0.333,0.089
37,0.368,0.397,0.38,0.375,0.291,0.554,0.323,0.09
38,0.354,0.364,0.37,0.361,0.301,0.536,0.321,0.092
39,0.353,0.385,0.364,0.356,0.292,0.523,0.303,0.087
40,0.341,0.369,0.352,0.341,0.272,0.496,0.276,0.084
41,0.321,0.358,0.325,0.318,0.266,0.484,0.277,0.08
42,0.306,0.333,0.317,0.309,0.259,0.457,0.271,0.082
43,0.296,0.313,0.309,0.296,0.24,0.438,0.252,0.075
44,0.246,0.262,0.257,0.246,0.232,0.423,0.247,0.068
45,0.269,0.282,0.271,0.265,0.226,0.404,0.245,0.069
46,0.244,0.261,0.245,0.243,0.213,0.395,0.231,0.062
47,0.254,0.271,0.263,0.256,0.217,0.389,0.229,0.063
48,0.288,0.307,0.294,0.292,0.208,0.371,0.22,0.059
49,0.287,0.305,0.296,0.29,0.194,0.355,0.21,0.058
50,0.271,0.295,0.278,0.289,0.193,0.339,0.205,0.05
